ScientistName,preparation,date,components,login,password
Ланчеков Алексей Тимофеевич,Зылорик,1489-05-21,Chemical_63 Chemical_71 Chemical_40,Ланчеков_АТ,nZKtTxMnLB
Ампипогов Михаил Юрьевич,Иммунивит,1664-02-17,Chemical_100 Chemical_6 Chemical_44,Ампипогов_МЮ,nZKtTxMnLB
Тюлюлюева Анна Яковлевна,Нитросорбид,1827-09-25,Chemical_18 Chemical_69 Chemical_93,Тюлюлюева_АЯ,nZKtTxMnLB
Неветруева Елена Эдуардовна,Гидрохлоротиазид,0902-11-21,Chemical_15 Chemical_82 Chemical_21,Неветруева_ЕЭ,nZKtTxMnLB
Курочкин Руслан Аркадиевич,Золедроновая кислота,1389-01-05,Chemical_44 Chemical_62 Chemical_73,Курочкин_РА,nZKtTxMnLB
Рутковский Антон Кириллович,Бактрим,1327-01-22,Chemical_19 Chemical_27 Chemical_68,Рутковский_АК,nZKtTxMnLB
Шабунов Юрий Алексиевич,Парацетамол,0970-10-22,Chemical_41 Chemical_31 Chemical_39,Шабунов_ЮА,nZKtTxMnLB
Кожетев Максим Аркадиевич,Алпразолам,1743-04-03,Chemical_26 Chemical_76 Chemical_16,Кожетев_МА,nZKtTxMnLB
Хусаинов Антон Алексеевич,Росувастатин,0949-06-08,Chemical_89 Chemical_77 Chemical_35,Хусаинов_АА,nZKtTxMnLB
Вендеров Никита Тимофеевич,Витамин С,1119-02-24,Chemical_43 Chemical_97 Chemical_3,Вендеров_НТ,nZKtTxMnLB
Дергунская Яна Эдуардовна,Колчицин,1909-04-19,Chemical_70 Chemical_7 Chemical_23,Дергунская_ЯЭ,nZKtTxMnLB
Заботнов Анатолий Максимович,Тианептин,1454-04-22,Chemical_75 Chemical_98 Chemical_63,Заботнов_АМ,nZKtTxMnLB
Рубинов Руслан Иванович,Рамиприл,1276-02-24,Chemical_38 Chemical_46 Chemical_16,Рубинов_РИ,nZKtTxMnLB
Крючатов Ярослав Антонович,Миртазапин,1734-03-17,Chemical_51 Chemical_64 Chemical_70,Крючатов_ЯА,nZKtTxMnLB
Жебракова Полина Игоревна,Бисопролол,1886-02-19,Chemical_87 Chemical_27 Chemical_19,Жебракова_ПИ,nZKtTxMnLB
Данивецкая Виолетта Эдуардовна,Золедроновая кислота,1451-11-13,Chemical_37 Chemical_65 Chemical_92,Данивецкая_ВЭ,nZKtTxMnLB
Мятлев Георгий Денисович,Азитромицин,1987-08-26,Chemical_16 Chemical_14 Chemical_48,Мятлев_ГД,nZKtTxMnLB
Нетунаев Руслан Петрович,Клопидогрел,1969-06-01,Chemical_99 Chemical_87 Chemical_25,Нетунаев_РП,nZKtTxMnLB
Аранышев Иван Юрьевич,Тианептин,1035-08-27,Chemical_56 Chemical_60 Chemical_53,Аранышев_ИЮ,nZKtTxMnLB
Курмелев Леонид Николаевич,Спазмалгон,1543-08-10,Chemical_44 Chemical_43 Chemical_15,Курмелев_ЛН,nZKtTxMnLB
Арончикова Вероника Викторовна,Живина,2000-01-25,Chemical_22 Chemical_91 Chemical_60,Арончикова_ВВ,nZKtTxMnLB
Гизулина Галина Ивановна,Омепразол,1875-10-22,Chemical_9 Chemical_3 Chemical_59,Гизулина_ГИ,nZKtTxMnLB
